,team_score,opp_score,w
texans,17,29,False
falcons,17,20,False
bears,32,35,False
bengals,35,32,True
lions,15,9,True
patriots,26,3,True
jets,20,17,True
commanders,17,20,False
jaguars,27,20,True
cardinals,21,31,False
buccaneers,16,13,True
chiefs,20,17,True
saints,13,27,False
eagles,29,17,True
chargers,20,17,True
dolphins,35,32,True
panthers,21,42,False
packers,9,15,False
colts,3,26,False
bills,17,20,False
vikings,20,17,True
raiders,20,27,False
seahawks,31,21,True
rams,13,16,False
titans,17,20,False
ravens,27,13,True
